Model,CV Accuracy (Mean),CV Accuracy (Std),Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC AUC
Random Forest,0.99375,0.002125941697030661,0.9977272727272727,0.9978354978354979,0.9977272727272727,0.997725851384388,1.0
XGBoost,0.9852272727272728,0.006327004957761375,0.9931818181818182,0.9937032664305392,0.9931818181818182,0.9931690047222782,0.9999891774891775
LightGBM,0.9880681818181817,0.004175266607016779,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759,0.9999945887445887
CatBoost,,,0.990909090909091,0.991538764266037,0.990909090909091,0.9908335139400609,0.9999783549783549
SVM,0.9301136363636363,0.009608826434822595,0.9386363636363636,0.9405711464128111,0.9386363636363636,0.9378462024228807,0.9989989177489179
Neural Network,0.9630681818181819,0.007408184551366653,0.9659090909090909,0.9682170376834408,0.9659090909090909,0.9656592936043334,0.9993019480519482
