date,city,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,weather_id,frost
2025-08-23,Delhi,29.89,32.24,1000,58,,91,3.24,94,804,0
2025-08-23,Jaipur,24.19,24.39,1000,66,,99,3.19,24,804,0
2025-08-23,Lucknow,32.71,38.79,999,60,,82,5.61,121,803,0
