iter	Passed	Remaining
389	299788	358976
390	300549	358199
391	301380	357505
392	302167	356757
393	302890	355934
394	303604	355101
395	304409	354375
396	305056	353466
397	305749	352610
398	306437	351750
399	307061	350817
400	307764	349976
401	308419	349082
402	309264	348402
403	309826	347404
404	310494	346527
405	311214	345708
406	311805	344748
407	312480	343882
408	313172	343034
409	313859	342182
410	314548	341335
411	315212	340459
412	315925	339638
413	316606	338784
414	317348	337995
415	318013	337125
416	318726	336306
417	319362	335406
418	320075	334590
419	320729	333711
420	321662	333122
421	322365	332296
422	323201	331606
423	323951	330827
424	324567	329913
425	325218	329035
426	326153	328445
427	326997	327761
428	327762	326998
429	328638	326345
430	329654	325830
431	330546	325190
432	331275	324389
433	331990	323575
434	332728	322784
435	333649	322170
436	334490	321478
437	335348	320801
438	336218	320135
439	337294	319663
440	338025	318862
441	338681	317992
442	339360	317145
443	339918	316185
444	340596	315338
445	341269	314488
446	341933	313630
447	342529	312711
448	343190	311851
449	343854	310997
450	344551	310172
451	345158	309268
452	345824	308417
453	346453	307534
454	347157	306719
455	347837	305883
456	348494	305027
457	349098	304127
458	349730	303252
459	350409	302418
460	351167	301653
461	352046	300991
462	353118	300493
463	354068	299889
464	354958	299233
465	355724	298472
466	356719	297902
467	357764	297373
468	358635	296696
469	359543	296049
470	360546	295479
471	361395	294782
472	362359	294177
473	363062	293360
474	363929	292675
475	364814	292005
476	365545	291210
477	366628	290694
478	367566	290062
479	368400	289347
480	369332	288709
481	370094	287936
482	371048	287312
483	372127	286784
484	373008	286101
485	373954	285467
486	374871	284810
487	375947	284272
488	376859	283607
489	377765	282938
490	378592	282209
491	379594	281609
492	380545	280971
493	381445	280293
494	382154	279474
495	382953	278722
496	383879	278061
497	384650	277288
498	385334	276452
499	386068	275652
500	386864	274897
501	387800	274241
502	388562	273461
503	389239	272622
504	390014	271851
505	390725	271036
506	391505	270269
507	392282	269501
508	393055	268729
509	393811	267945
510	394761	267294
511	395738	266659
512	397199	266348
513	399078	266310
514	399948	265596
515	401507	265337
516	402517	264711
517	403428	264019
518	404673	263544
519	405859	263028
520	407254	262643
521	408847	262382
522	410012	261843
523	411129	261270
524	412452	260827
525	413692	260327
526	414819	259754
527	415996	259210
528	417098	258616
529	418555	258240
530	420483	258149
531	422029	257818
532	423400	257376
533	424738	256911
534	425899	256336
535	426704	255545
536	427778	254914
537	428611	254139
538	429750	253544
539	430721	252849
540	431739	252180
541	433052	251681
542	433774	250838
543	434846	250196
544	435812	249492
545	436729	248759
546	437538	247965
547	438491	247251
548	436178	244704
549	437083	243971
550	437942	243213
1	433998	239799
552	435043	239156
553	436123	238529
554	437006	237794
555	437716	236965
556	438592	236225
