iter	MultiClass
0	1.952369373
1	1.72951807
22	1.55109014633	1.40543968644	1.281229885	5	1.185835096	1.096594334
7	1.012881023
8	0.9402745165
9	99	0.8160935110110	0.7704261011111	0.727343312	112	0.685026813	113	0.64307251414	0.6078825831515	0.5689817921616	0.5408535823
17	0.5120254646
18	0.4843337293
19	0.4591653782
20	0.4353282491221	0.4237627827222	0.4004151759223	0.3870417432
24	0.3750927503
25	0.357517791
26	0.3444998105
27	0.3321445598
28	0.3227861379
29	0.3155362945
30	0.3063300665
31	0.2976478257
32	0.2888507846
33	0.282016087
34	0.2707127838
35	0.2621820523
36	0.2519066277
37	0.2460989116
38	0.2394455808
39	0.232883509
40	0.2263141735
41	0.2209327232
42	0.2164705757
43	0.2123433475
44	0.2075096166
45	0.2015161044
46	0.1929084276
47	0.1893135571
48	0.1856089986
49	0.1810849751
50	0.1760561416
51	0.1721897494
52	0.1684849473
53	0.1640888222
54	0.1602227463
55	0.1564472353
56	0.1519088076
57	0.1487594858
58	0.1460362992
59	0.142544315
60	0.1392202994
61	0.1365569047
62	0.134209358
63	0.1316369874
64	0.1294180732
65	0.1274927908
66	0.1255205975
67	0.122752165
68	0.1203802781
69	0.1182111411
70	0.1151078394
71	0.1124072048
72	0.1103399016
73	0.1086652063
74	0.1061736584
75	0.1044120355
76	0.102777734
77	0.1009716857
78	0.09956465415
79	0.09834427325
80	0.09685970654
81	0.09531913956
82	0.09328865162
83	0.09117369066
84	0.0904049662
85	0.08912903725
86	0.08810070501
87	0.08687691719
88	0.08607413638
89	0.08524440168
90	0.08413878124
91	0.08343608268
92	0.08231317161
93	0.08134902109
94	0.08009246314
95	0.07904370159
96	0.07811886453
97	0.07689522466
98	0.07597044058
99	0.07524626084
100	0.074243778
101	0.07338948291
102	0.07279098254
103	0.07138195491
104	0.0702853247
105	0.06943985488
106	0.06863381286
107	0.06802488274
108	0.06718171256
109	0.06656859893
110	0.06546597605
111	0.06491975129
112	0.0641864015
113	0.0635796813
